127.0.0.1 - - [21/Jun/2023:09:51:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:51:19 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:51:46 +0900] "GET /01_html/day02/Ex09_table.html HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:53:52 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:53:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:54:06 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:05 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:55:57 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:56:10 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:58:41 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 2284
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:01 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:01:23 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:03:36 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:04:45 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:05:36 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:06:02 +0900] "GET /01_html/day03/Ex01_span.html HTTP/1.1" 200 3015
