127.0.0.1 - - [19/Jun/2023:13:20:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jun/2023:13:20:31 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Jun/2023:13:20:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:30:02 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:30:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:52:08 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:54:02 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:54:09 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:54:42 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:57:24 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:59:28 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:59:48 +0900] "GET /01_html/day01/Ex01.html HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:22:43 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:26:07 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:00 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:13 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:37 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:39 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:40 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:40 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:41 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:41 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:42:41 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:43:09 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:43:35 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:43:47 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:44:45 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:45:01 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:45:01 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:45:01 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:45:02 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:45:02 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:45:02 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:46:23 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:48:04 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:48:21 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:55:58 +0900] "GET /01_html/day01/Ex02_paragraph.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:56:12 +0900] "GET /01_html/day01/Ex03_paragraph.html HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:59:17 +0900] "GET /01_html/day01/Ex03_paragraph.html HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:00:46 +0900] "GET /01_html/day01/Ex03_paragraph.html HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:00:58 +0900] "GET /01_html/day01/Ex03_paragraph.html HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:02:48 +0900] "GET /01_html/day01/Ex03_paragraph.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:16:21 +0900] "GET /01_html/day01/Ex04_stykes.html HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:16:29 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:37:51 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:51 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:02 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:40:17 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:41:19 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:42:38 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:43:57 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:44:26 +0900] "GET /01_html/day01/Ex04_styles.html HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:49:22 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:50:22 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:54:32 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:59:39 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:04:14 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:07:07 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:07:16 +0900] "GET /01_html/day01/Ex05_TextFormatting.html HTTP/1.1" 304 -
